CustomerID,Age,Gender,AnnualIncome,SpendingScore,OnlinePurchases,WebsiteVisits,CategoryPreference
1,50.0,Female,58.97382483413507,39.43046191629034,14.0,26.0,Clothing
2,43.0,Female,49.75426409979082,47.80185042981218,9.0,17.0,Electronics
3,37.0,Male,45.072539040395526,25.05290885429313,8.0,7.0,Books
4,38.0,Female,45.47436926777182,43.36745852021861,13.0,23.0,Clothing
5,50.0,Female,60.62891429255026,62.271990103131,14.0,27.0,Electronics
6,45.0,Female,53.76811131247956,32.09536953724549,9.0,13.0,Clothing
7,43.0,Male,49.379391304852746,31.501482588077447,10.0,27.0,Clothing
8,54.0,Female,60.37122843149329,23.668694962454207,11.0,19.0,Clothing
9,58.0,Male,57.57814970431025,72.77625955580152,11.0,22.0,Books
10,50.0,Female,57.53121142211631,43.18165063867478,8.0,15.0,Beauty
11,44.0,Female,51.51724118771671,70.35786767937097,12.0,22.0,Clothing
12,58.0,Female,56.81343101885855,77.36895679697555,12.0,29.0,Books
13,32.0,Female,50.76097688025715,55.49847671983398,9.0,15.0,Electronics
14,43.0,Female,55.53870433207856,28.183220563033636,8.0,20.0,Books
15,53.0,Female,55.28274314308469,41.34114642509495,11.0,26.0,Books
16,28.0,Female,46.66152026637356,43.71549315512727,8.0,13.0,Clothing
17,26.0,Male,41.800909246050765,38.4473067310294,10.0,16.0,Clothing
18,23.0,Female,41.788313211224256,57.40016854798962,6.0,15.0,Clothing
19,50.0,Male,53.62790441496807,37.3117429171745,,17.0,Clothing
20,34.0,Female,44.38104402236559,47.099930447359014,11.0,23.0,Electronics
21,38.0,Male,52.96814695539927,57.10266167264234,9.0,15.0,Clothing
22,41.0,Male,46.87452740887076,43.153923249706054,11.0,22.0,Clothing
23,56.0,Female,58.5351507052332,70.54311348217975,9.0,14.0,Electronics
24,53.0,Female,54.749641175949954,47.03133160598189,8.0,11.0,Clothing
25,47.0,Male,53.13513401795379,48.085738044438315,10.0,16.0,Electronics
26,23.0,Male,38.25248036935239,43.558589710843385,6.0,10.0,Books
27,34.0,Male,48.33731467066609,66.8972016204646,10.0,18.0,Clothing
28,56.0,Female,54.37901328477638,56.11774270717726,,18.0,Beauty
29,50.0,Male,,43.1130448675109,9.0,22.0,Books
30,45.0,Female,50.95547999508698,68.52995977296821,9.0,,Sports
31,44.0,Male,55.726007266818215,58.095981883106795,11.0,25.0,Clothing
32,18.0,Female,38.69523312395951,20.589160251546847,5.0,11.0,Clothing
33,28.0,Female,42.513151645698755,45.543602584462796,10.0,23.0,Electronics
34,30.0,Male,50.31751475276795,42.66222116971037,11.0,24.0,Books
35,59.0,Male,61.76039214162373,23.03037062836266,12.0,21.0,Beauty
36,56.0,Female,60.5432676035327,69.4368722554582,13.0,25.0,Electronics
37,31.0,Female,44.44058193084765,28.798478515386947,9.0,14.0,Electronics
38,66.0,Female,59.85080029026042,75.32526556962067,10.0,18.0,Electronics
39,38.0,Male,54.128415302749644,33.741276521805474,12.0,20.0,Sports
40,56.0,Male,56.47189731285456,29.236270185078137,11.0,22.0,Clothing
41,47.0,Male,55.368089675895725,44.13592055880105,12.0,22.0,Beauty
42,32.0,Male,42.033722192305554,43.26528459491492,11.0,21.0,Clothing
43,24.0,Male,41.03675936589717,62.18160117761727,10.0,19.0,Clothing
44,40.0,Female,52.41697533015155,37.26037755006615,10.0,13.0,Clothing
45,30.0,Female,48.74257381382157,69.0434935919122,8.0,16.0,Clothing
46,60.0,Female,62.68393832765023,58.646665163071525,12.0,21.0,Beauty
47,49.0,Male,55.03039163524937,43.67284454054904,8.0,19.0,Sports
48,55.0,Male,56.082723909398055,59.702514939210495,10.0,21.0,Clothing
49,53.0,Male,54.038693313389636,67.00601190108125,10.0,19.0,Clothing
50,29.0,Female,45.30888110383765,34.02209155588292,9.0,14.0,Clothing
51,60.0,Female,62.37904248829802,42.60463446783726,12.0,28.0,Clothing
52,66.0,Male,69.77542645808035,51.75572055071635,10.0,24.0,Electronics
53,48.0,Female,55.17881197630832,47.234780342585914,10.0,17.0,Sports
54,31.0,Male,42.5978394866534,62.04132523916675,7.0,7.0,Clothing
55,45.0,Female,50.29470247782191,82.8585140401828,9.0,17.0,Clothing
56,51.0,Male,56.68524775044542,56.09655213210179,13.0,30.0,Electronics
57,45.0,Male,51.95467497304196,64.0804949119861,9.0,20.0,Electronics
58,36.0,Male,48.699306003895224,35.103513580043284,10.0,20.0,Sports
59,23.0,Female,42.563307430062984,44.06129095939337,8.0,11.0,Clothing
60,36.0,Male,49.80687559813538,64.43159353409182,8.0,18.0,Sports
61,43.0,Female,56.5038250938927,58.855886344099474,13.0,25.0,Clothing
62,36.0,Female,50.70326488264037,42.948758160082924,13.0,25.0,Clothing
63,34.0,Female,45.411449861501275,65.21935864345562,13.0,24.0,Books
64,57.0,Male,58.944732752146905,64.10485240948114,12.0,22.0,Clothing
65,53.0,Female,53.22908806577641,37.088681986839944,12.0,18.0,Clothing
66,29.0,Female,42.121617987660876,52.91446437228443,8.0,13.0,Electronics
67,62.0,Male,59.304581335699446,39.704044362985734,11.0,27.0,Sports
68,24.0,Male,38.8892206137817,29.661753454494885,8.0,15.0,Clothing
69,30.0,Male,44.3410524649548,32.781367393941615,7.0,12.0,Clothing
70,37.0,Female,46.31842937544349,56.64413322797592,10.0,17.0,Books
71,47.0,Male,54.12548922729987,45.183969413751306,9.0,23.0,Beauty
72,53.0,Female,56.05764428515086,62.36842614864531,8.0,19.0,Beauty
73,40.0,Male,52.20950616690007,84.14649552602646,12.0,24.0,Clothing
74,52.0,Male,53.89899921560573,47.61501323059494,10.0,25.0,Clothing
75,51.0,Female,54.947927771002185,46.43999571861227,8.0,13.0,Clothing
76,43.0,Female,52.45382375026187,48.28409583586182,10.0,16.0,Sports
77,31.0,Male,48.72972570024984,42.174075617910916,6.0,12.0,Electronics
78,31.0,Male,44.85687561191044,28.1518665974775,10.0,17.0,Electronics
79,30.0,Female,41.829251957307854,14.663364800334222,9.0,23.0,Clothing
80,46.0,Male,55.03873204405575,46.42499506032136,10.0,23.0,Beauty
81,47.0,Male,49.5903606161968,55.874959519401166,8.0,21.0,Electronics
82,21.0,Female,40.83279788362158,37.422303938244156,10.0,18.0,Books
83,60.0,Female,60.95759286056426,56.342110011564586,10.0,23.0,Clothing
84,38.0,Male,47.10776192443371,55.826550988590185,9.0,11.0,Sports
85,59.0,Male,57.597432867830356,31.996574053877396,11.0,22.0,Books
86,54.0,Male,56.265561821686454,23.407206713447525,8.0,16.0,Sports
87,37.0,Female,49.616857776975095,36.45769682539852,10.0,20.0,Books
88,27.0,Female,46.24247500009609,45.375185921070866,13.0,26.0,Clothing
89,28.0,Male,45.501437764270364,66.32473494684979,13.0,24.0,Beauty
90,27.0,Female,40.92931739805715,57.66006971007387,8.0,13.0,Electronics
91,25.0,Female,40.53881474488872,57.73607233161012,8.0,14.0,Clothing
92,53.0,Female,53.69215481294272,43.799460349899974,13.0,23.0,Beauty
93,26.0,Female,42.38026393015921,40.94201849427002,10.0,15.0,Books
94,32.0,Female,48.3521304230228,55.56627692744555,9.0,16.0,Electronics
95,27.0,Male,39.311770681270374,48.12120650312194,8.0,15.0,Books
96,51.0,Male,48.53954876128468,43.30085130126177,10.0,20.0,Electronics
97,26.0,Female,42.81982643900692,39.298969948958415,6.0,11.0,Beauty
98,44.0,Male,47.90315428746895,64.63569020847282,8.0,18.0,Beauty
99,29.0,Male,43.841456038735274,44.9230457465668,7.0,17.0,Sports
100,32.0,Male,42.82948993469576,35.206547896576666,12.0,24.0,Beauty
101,56.0,Female,56.31290144113316,70.13687580171964,8.0,17.0,Clothing
102,49.0,Male,57.09820413326248,60.698253996592584,11.0,22.0,Clothing
103,63.0,Male,60.86448318994276,78.25262932488471,11.0,18.0,Clothing
104,26.0,Female,38.49103172603156,49.61946305995159,10.0,16.0,Sports
105,50.0,Female,54.07849205049207,45.79477914867453,9.0,18.0,Books
106,42.0,Female,49.05755158832395,52.58917265113045,7.0,14.0,Clothing
107,31.0,Female,47.19136978283088,57.23546765240583,9.0,21.0,Clothing
108,26.0,Male,40.34323480545348,52.85877778879262,7.0,11.0,Books
109,21.0,Male,41.33659691006939,52.25954032740968,10.0,22.0,Electronics
110,44.0,Male,54.34597894616164,67.23048322420749,7.0,14.0,Electronics
111,49.0,Female,57.02838259191611,30.91626663508857,,20.0,Clothing
112,50.0,Female,58.847643895588384,38.21719975619676,7.0,18.0,Beauty
113,31.0,Female,44.70031291352786,46.51681334688168,,22.0,Electronics
114,54.0,Male,57.966822956736294,26.420138335091448,9.0,21.0,Clothing
115,42.0,Female,53.18563294369302,37.39533324462303,10.0,20.0,Clothing
116,28.0,Male,42.70573066643905,47.45124494686103,11.0,19.0,Beauty
117,47.0,Male,50.89548008995442,48.10434979369229,10.0,16.0,Electronics
118,63.0,Female,60.972406205104114,44.06978802992256,11.0,21.0,Books
119,50.0,Female,56.10506233833673,43.26720644247703,10.0,21.0,Electronics
120,32.0,Female,40.98948064223394,56.207601522495864,8.0,14.0,Electronics
121,58.0,Female,55.63761760846502,47.99677680044819,9.0,20.0,Beauty
122,56.0,Female,56.99827772116644,29.704430879666724,11.0,21.0,Electronics
123,55.0,Male,57.43933150464567,37.69790456298671,9.0,17.0,Clothing
124,48.0,Male,53.77343800210976,22.518036171345713,11.0,22.0,Electronics
125,46.0,Female,46.45910201268977,63.5537377376317,8.0,23.0,Clothing
126,51.0,Male,60.80147371895041,44.82829209539385,10.0,21.0,Clothing
127,37.0,Male,50.12101180044174,11.689320997987643,9.0,16.0,Clothing
128,34.0,Female,46.73645229746404,43.87927527192985,10.0,21.0,Beauty
129,24.0,Female,40.844049285289785,39.61577421425077,8.0,16.0,Clothing
130,54.0,Male,58.87762145012356,37.93893463773169,10.0,19.0,Electronics
131,28.0,Male,41.13853864019281,26.51788287761095,13.0,22.0,Clothing
132,65.0,Female,61.208851503498934,46.00936380383497,10.0,19.0,Sports
133,25.0,Female,43.42361335120475,32.68546472726285,9.0,18.0,Clothing
134,40.0,Female,46.50821244789782,31.06875471188542,8.0,21.0,Electronics
135,30.0,Female,44.498796825743725,56.855995101851875,11.0,21.0,Clothing
136,45.0,Male,52.44182540560389,66.53924286579628,8.0,15.0,Clothing
137,44.0,Female,59.33418514203356,39.057973489183844,8.0,16.0,Clothing
138,27.0,Male,47.65579537741252,59.9920066012897,7.0,14.0,Beauty
139,49.0,Male,55.566198441707286,42.41780719556431,8.0,13.0,Beauty
140,46.0,Male,53.8095278293076,36.958781637946544,10.0,18.0,Clothing
141,44.0,Male,52.50072728305898,46.627786406839434,10.0,19.0,Sports
142,53.0,Male,56.94443676666697,35.60202163577216,12.0,,Clothing
143,67.0,Male,63.854046305934105,61.313247193157444,11.0,21.0,Beauty
144,52.0,Female,52.14579262774946,39.199225341795994,9.0,20.0,Books
145,33.0,Male,53.05927077949126,55.148282256338476,11.0,20.0,Clothing
146,42.0,Male,48.873348603752014,60.476762353505684,9.0,15.0,Beauty
147,29.0,Female,45.103701581908126,65.51447416273878,8.0,18.0,Books
148,24.0,Male,40.61853237077735,39.683835151085795,8.0,15.0,Clothing
149,46.0,Female,54.26354293492262,51.59594450088623,8.0,18.0,Clothing
150,45.0,Female,55.038208468920544,44.76989515679169,,17.0,Books
151,58.0,Female,54.75608448400157,50.04072654347183,9.0,16.0,Clothing
152,62.0,Male,62.90777786739683,73.61580019087545,12.0,24.0,Sports
153,31.0,Female,43.53423190548333,44.42992715027375,10.0,21.0,Sports
154,63.0,Female,57.02022986392079,75.2893489256891,10.0,23.0,Sports
155,24.0,Female,38.262418422337475,42.225308545431766,10.0,17.0,Sports
156,54.0,Female,48.55724660730113,55.53280877141696,14.0,24.0,Clothing
157,38.0,Female,45.44630759797526,34.45553365668783,10.0,14.0,Electronics
158,39.0,Male,47.06803397059054,42.991689045734596,8.0,22.0,Books
159,30.0,Female,49.92850209504238,60.13741539004189,11.0,23.0,Sports
160,38.0,Female,53.68772135084028,49.403148121982554,9.0,20.0,Clothing
161,49.0,Female,55.86610015255585,59.14644025166501,10.0,18.0,Books
162,32.0,Female,46.35695827614145,48.416165971637774,8.0,18.0,Sports
163,35.0,Male,50.362396196232524,63.13489787658446,11.0,24.0,Beauty
164,51.0,Male,49.412689793030026,35.34862916448384,10.0,13.0,Clothing
165,52.0,Male,56.59317258846722,28.409000217214025,15.0,28.0,Books
166,25.0,Male,40.58355756781675,38.83971843394012,7.0,20.0,Clothing
167,49.0,Male,51.257993371425734,65.59781159227273,8.0,19.0,Beauty
168,62.0,Female,61.224277370497504,55.28451651361227,10.0,19.0,Sports
169,58.0,Female,54.18541131560131,46.459335915070604,10.0,22.0,Electronics
170,31.0,Female,40.6472539433782,53.1082629116876,8.0,20.0,Clothing
171,36.0,Male,46.47457177017346,41.89418779601346,13.0,21.0,Clothing
172,27.0,Male,44.063649081247725,56.83577701574313,10.0,24.0,Electronics
173,46.0,Female,47.85955866035959,50.84134237767205,8.0,15.0,Books
174,48.0,Female,53.97229879908363,12.498688204922253,12.0,24.0,Clothing
175,20.0,Female,38.04535133411693,48.19052535081007,5.0,16.0,Electronics
176,59.0,Male,58.399166912441395,77.84874186489097,11.0,23.0,Electronics
177,31.0,Male,51.06010458634864,36.92855958466454,11.0,18.0,Clothing
178,51.0,Male,56.61507962715269,69.92140342433117,11.0,22.0,Sports
179,35.0,Male,50.87391087009127,55.971620415234305,10.0,20.0,Beauty
180,54.0,Female,56.198647408269295,81.4386539984289,10.0,15.0,Sports
181,31.0,Male,43.81031579487479,47.900005880720414,8.0,15.0,Electronics
182,54.0,Female,54.239581403227106,38.561570128456886,12.0,20.0,Electronics
183,25.0,Female,47.11227598796661,45.22994213927805,8.0,13.0,Sports
184,49.0,Female,54.86332661328743,42.71991407516765,13.0,27.0,Clothing
185,55.0,Male,59.24035884690515,43.373176370391704,9.0,17.0,Clothing
186,48.0,Male,52.943584973179675,36.875243509521695,9.0,16.0,Electronics
187,63.0,Female,69.25494433397473,,12.0,26.0,Clothing
188,25.0,Female,45.162195160318724,45.98500840037593,11.0,25.0,Electronics
189,27.0,Male,45.98615383201789,65.30539960630398,8.0,14.0,Electronics
190,33.0,Female,44.22555325564065,74.65503497665372,7.0,19.0,Beauty
191,35.0,Male,49.77619034307299,35.16997491261748,9.0,18.0,Clothing
192,51.0,Female,51.636471695923326,69.79362607806745,11.0,21.0,Clothing
193,48.0,Female,53.18397435080045,53.41934461477043,10.0,20.0,Clothing
194,52.0,Male,48.83138725295295,55.07632964519253,7.0,17.0,Clothing
195,60.0,Female,68.19174272722572,62.71941450243939,14.0,24.0,Electronics
196,54.0,Female,50.69239229882319,53.030872489362885,12.0,18.0,Clothing
197,33.0,Female,48.572160742407604,34.884166627491346,9.0,12.0,Electronics
198,32.0,Male,49.87038794613117,31.066567669449576,8.0,15.0,Clothing
199,40.0,Male,54.37295683485901,75.69949595491443,10.0,16.0,Clothing
200,41.0,Female,49.39915575292536,41.59852100053957,8.0,21.0,Electronics
201,27.0,Female,37.539990111056696,63.68897020905824,10.0,23.0,Beauty
202,50.0,Male,49.1891251300251,53.33598619070479,6.0,15.0,Clothing
203,35.0,Male,50.63516544139042,44.045420795503475,8.0,15.0,Electronics
204,51.0,Female,54.29939233294624,43.107446177758085,10.0,18.0,Books
205,61.0,Female,62.528594716723994,72.2091487101704,10.0,23.0,Books
206,36.0,Male,46.65925228608611,86.78226914506438,10.0,20.0,Clothing
207,45.0,Male,45.74755280371387,53.22714323903188,8.0,,Clothing
208,40.0,Female,57.87789004118697,66.15813321236917,14.0,29.0,Sports
209,55.0,Female,54.53806546819498,45.034395904889664,13.0,22.0,Beauty
210,30.0,Male,44.868556688585315,80.00368741475822,9.0,21.0,Beauty
211,,Female,45.12640360513623,63.83668576050408,10.0,18.0,Clothing
212,32.0,Male,49.63058219483007,70.27200832377648,9.0,13.0,Clothing
213,37.0,Female,46.044402110160085,55.78504194921081,8.0,11.0,Clothing
214,47.0,Male,52.241059846689666,85.24924595348354,,23.0,Clothing
215,32.0,Male,44.276809947772755,37.058236844500605,12.0,19.0,Electronics
216,23.0,Male,37.87498941703308,23.555785305557578,6.0,15.0,Electronics
217,26.0,Male,41.01614965586658,51.23224990367024,8.0,15.0,Clothing
218,43.0,Male,48.433120987362756,43.07322082190531,11.0,22.0,Clothing
219,56.0,Male,61.65527610187254,61.70883552129462,12.0,21.0,Clothing
